iter	RMSE
0	27.58996904
1	26.43487418
2	25.32482052
3	24.28991273
4	23.3045224
5	22.3636625
6	21.46001514
7	20.61595809
8	19.8223163
9	19.06814926
10	18.36969815
11	17.70671966
12	17.07222893
13	16.46951249
14	15.90069821
15	15.38100005
16	14.88004193
17	14.40605682
18	13.96360896
19	13.54233121
20	13.14801897
21	12.77978905
22	12.43481674
23	12.11185406
24	11.81742892
25	11.54442099
26	11.28091557
27	11.03629762
28	10.80768509
29	10.59384955
30	10.39672923
31	10.20902144
32	10.03844337
33	9.879188283
34	9.730613434
35	9.588053388
36	9.459107452
37	9.336097821
38	9.226729636
39	9.120821383
40	9.024908187
41	8.936951042
42	8.851764893
43	8.773825142
44	8.700289119
45	8.631811659
46	8.56801315
47	8.509025125
48	8.455674085
49	8.405976879
50	8.36007332
51	8.317334062
52	8.278037638
53	8.241421496
54	8.20626363
55	8.173407147
56	8.144300382
57	8.116537808
58	8.09026952
59	8.065535767
60	8.043734656
61	8.023593032
62	8.003879733
63	7.987074834
64	7.971420664
65	7.955845683
66	7.940230543
67	7.927100172
68	7.914816482
69	7.902740388
70	7.891095018
71	7.880112983
72	7.870026744
73	7.857133231
74	7.848037006
75	7.838921854
76	7.830046881
77	7.821620526
78	7.813992282
79	7.807474516
80	7.801025481
81	7.795443158
82	7.789830915
83	7.784380289
84	7.776996609
85	7.768369335
86	7.76395422
87	7.758307156
88	7.753439894
89	7.749126845
90	7.745017698
91	7.738349876
92	7.733027867
93	7.726656834
94	7.721689151
95	7.717584717
96	7.713850184
97	7.710333609
98	7.706168155
99	7.702690813
100	7.700145085
101	7.696871752
102	7.693540692
103	7.690573682
104	7.688402907
105	7.685558555
106	7.683141547
107	7.680396454
108	7.678584191
109	7.676024477
110	7.671533509
111	7.669566003
112	7.667728935
113	7.663510942
114	7.66164428
115	7.659798446
116	7.657152647
117	7.655083906
118	7.650909825
119	7.648983872
120	7.647249027
121	7.643950194
122	7.641189274
123	7.639656535
124	7.637926442
125	7.636059243
126	7.634321569
127	7.633140597
128	7.630457722
129	7.627529967
130	7.625823337
131	7.624242245
132	7.623183142
133	7.621315728
134	7.619087632
135	7.617549237
136	7.615836296
137	7.614101369
138	7.612695706
139	7.611532197
140	7.61019514
141	7.608977566
142	7.607440058
143	7.60585761
144	7.604975886
145	7.60380887
146	7.601374739
147	7.599927621
148	7.597773723
149	7.596398818
150	7.595344167
151	7.594043478
152	7.592875016
153	7.591377815
154	7.590388196
155	7.588854983
156	7.587614881
157	7.586106268
158	7.585135624
159	7.584009963
160	7.58287524
161	7.582065226
162	7.581080916
163	7.579959795
164	7.578300052
165	7.577555051
166	7.576686033
167	7.575664152
168	7.574696487
169	7.573940612
170	7.57227321
171	7.571382831
172	7.570386987
173	7.569204062
174	7.56850043
175	7.567567078
176	7.566110973
177	7.565293146
178	7.564475117
179	7.563574475
180	7.562766319
181	7.561719754
182	7.560724941
183	7.559822708
184	7.558771776
185	7.55801007
186	7.557160999
187	7.556357764
188	7.555778582
189	7.555015157
190	7.554209501
191	7.553130566
192	7.552184891
193	7.55144638
194	7.550712393
195	7.550038854
196	7.549120869
197	7.54836559
198	7.547559821
199	7.546716738
200	7.545780648
201	7.544973047
202	7.544337563
203	7.543490097
204	7.542847641
205	7.542480512
206	7.54175714
207	7.541085101
208	7.540385099
209	7.539324415
210	7.538673805
211	7.537896572
212	7.536900395
213	7.536289743
214	7.535651328
215	7.535047159
216	7.534341798
217	7.534006526
218	7.53321552
219	7.532369463
220	7.531654541
221	7.531048949
222	7.530412225
223	7.529736028
224	7.529057408
225	7.52847437
226	7.527956326
227	7.527438723
228	7.526844291
229	7.526377495
230	7.525622573
231	7.52508058
232	7.524516004
233	7.523860321
234	7.52333443
235	7.52264644
236	7.52199833
237	7.521419429
238	7.520948044
239	7.520431461
240	7.519917623
241	7.51925714
242	7.51860372
243	7.518106952
244	7.517736606
245	7.517201671
246	7.516575795
247	7.515985689
248	7.515346588
249	7.514905259
250	7.514472692
251	7.513991002
252	7.51331593
253	7.512788606
254	7.512109078
255	7.511307479
256	7.51054268
257	7.510218902
258	7.509732178
259	7.509252531
260	7.508657101
261	7.507944544
262	7.50745226
263	7.506958815
264	7.506543774
265	7.506038594
266	7.505434121
267	7.504815818
268	7.504247595
269	7.503644701
270	7.503205663
271	7.502606239
272	7.502144303
273	7.501650714
274	7.501210345
275	7.500604355
276	7.500192136
277	7.499729164
278	7.49908126
279	7.498409678
280	7.497816184
281	7.497231758
282	7.496771555
283	7.496271518
284	7.4959071
285	7.495415575
286	7.494987973
287	7.494343564
288	7.493831731
289	7.493370223
290	7.49282486
291	7.492324128
292	7.491786965
293	7.491219446
294	7.490712499
295	7.490167793
296	7.489547583
297	7.489076199
298	7.488620213
299	7.488079317
300	7.487597297
301	7.487067794
302	7.486653219
303	7.486204679
304	7.485724494
305	7.485352343
306	7.484872583
307	7.484440949
308	7.483840898
309	7.483340804
310	7.482882092
311	7.482385492
312	7.481970073
313	7.481437338
314	7.480959283
315	7.480503534
316	7.480118459
317	7.479670011
318	7.479165005
319	7.478725347
320	7.478188879
321	7.477803961
322	7.477348498
323	7.476965238
324	7.476609736
325	7.476022767
326	7.475610535
327	7.475178843
328	7.474779966
329	7.474310136
330	7.473812559
331	7.473424853
332	7.472974501
333	7.472710573
334	7.472255546
335	7.471911475
336	7.471345811
337	7.471038682
338	7.470623574
339	7.470103523
340	7.469602361
341	7.469184658
342	7.468677674
343	7.468275037
344	7.467869217
345	7.46753577
346	7.467146937
347	7.466752472
348	7.466303501
349	7.465895603
350	7.465489685
351	7.465137939
352	7.464696144
353	7.464353183
354	7.463856918
355	7.46346859
356	7.463030116
357	7.462676111
358	7.462322115
359	7.461945544
360	7.461533823
361	7.461103027
362	7.460821332
363	7.46049574
364	7.459994334
365	7.459575078
366	7.459128449
367	7.458734597
368	7.458334633
369	7.458000353
370	7.457576756
371	7.457266091
372	7.456969725
373	7.456581709
374	7.456297113
375	7.455808593
376	7.45547162
377	7.455202832
378	7.454857721
379	7.454382063
380	7.453987348
381	7.453589091
382	7.453323289
383	7.453002308
384	7.452564588
385	7.452237023
386	7.451778383
387	7.451388266
388	7.451063715
389	7.450669594
390	7.450316879
391	7.450012485
392	7.449679638
393	7.449155129
394	7.448831657
395	7.448544971
396	7.448221508
397	7.447922742
398	7.447540049
399	7.447255626
400	7.446933912
401	7.446577602
402	7.446156409
403	7.445746302
404	7.445424257
405	7.445030584
406	7.44473202
407	7.444412751
408	7.444049503
409	7.443798089
410	7.443544214
411	7.443303152
412	7.443003442
413	7.442616434
414	7.442256679
415	7.442018757
416	7.441718698
417	7.441418004
418	7.441157355
419	7.440882725
420	7.440551778
421	7.440154712
422	7.439892017
423	7.439561308
424	7.439203851
425	7.438875609
426	7.438567407
427	7.438199265
428	7.437827189
429	7.437469476
430	7.437152302
431	7.436742492
432	7.436391886
433	7.4360697
434	7.435627389
435	7.435316149
436	7.434969053
437	7.434654956
438	7.434261268
439	7.433935528
440	7.433640336
441	7.433298333
442	7.432972294
443	7.432621172
444	7.432367095
445	7.432104999
446	7.431797727
447	7.431465752
448	7.431177878
449	7.43079658
450	7.430522636
451	7.430211203
452	7.429914682
453	7.429609914
454	7.429358497
455	7.429113612
456	7.428814919
457	7.428488746
458	7.428195164
459	7.427959032
460	7.427697016
461	7.427456499
462	7.427139621
463	7.426827549
464	7.426561102
465	7.426302871
466	7.425958151
467	7.425677716
468	7.425301883
469	7.425050628
470	7.424764353
471	7.424365495
472	7.424087276
473	7.423793018
474	7.42341931
475	7.423133982
476	7.42286293
477	7.422573981
478	7.422251859
479	7.42206544
480	7.421824137
481	7.42145515
482	7.421094255
483	7.420821466
484	7.420459461
485	7.420199056
486	7.419944114
487	7.419668173
488	7.419434041
489	7.419174188
490	7.418884434
491	7.41853285
492	7.418332421
493	7.418016853
494	7.417736878
495	7.417419944
496	7.417197114
497	7.416842802
498	7.416619496
499	7.416367642
500	7.41611085
501	7.41587265
502	7.415599521
503	7.41526442
504	7.415047339
505	7.414737212
506	7.414538305
507	7.414250762
508	7.413899254
509	7.413595672
510	7.413340944
511	7.413096971
512	7.412887338
513	7.412677652
514	7.412428293
515	7.412205058
516	7.411901195
517	7.411628255
518	7.41141131
519	7.41112617
520	7.410840203
521	7.410601702
522	7.410339884
523	7.410086458
524	7.409893496
525	7.409666616
526	7.409375186
527	7.409048571
528	7.408797882
529	7.408570438
530	7.408287435
531	7.408029406
532	7.407762065
533	7.407427887
534	7.40721356
535	7.406974
536	7.406711871
537	7.40646581
538	7.406175595
539	7.405918598
540	7.405614837
541	7.405400816
542	7.405105084
543	7.404814509
544	7.404620309
545	7.40442153
546	7.404213763
547	7.403883894
548	7.403596088
549	7.403332199
550	7.403071764
551	7.402818421
552	7.402587917
553	7.402405592
554	7.40216741
555	7.401950886
556	7.401708875
557	7.401467557
558	7.401183323
559	7.40088714
560	7.400672462
561	7.400413113
562	7.400109364
563	7.399877653
564	7.399688936
565	7.399444641
566	7.399224931
567	7.399003915
568	7.398720596
569	7.398491136
570	7.398247619
571	7.398048988
572	7.397861178
573	7.39762114
574	7.397438523
575	7.397238122
576	7.39694841
577	7.39670875
578	7.396466952
579	7.396192435
580	7.395914343
581	7.395659817
582	7.395479055
583	7.39527127
584	7.39498256
585	7.394750889
586	7.394466629
587	7.39419627
588	7.393998033
589	7.393707236
590	7.393537153
591	7.393295192
592	7.393025936
593	7.392762964
594	7.392584713
595	7.392365517
596	7.39216593
597	7.391954963
598	7.391763737
599	7.391556281
600	7.391317755
601	7.391054418
602	7.39085486
603	7.390614406
604	7.390395504
605	7.390195563
606	7.390011157
607	7.389828209
608	7.389652627
609	7.389477629
610	7.389277177
611	7.389051694
612	7.388760186
613	7.388578163
614	7.388360548
615	7.388182043
616	7.387957508
617	7.387786078
618	7.387520687
619	7.387325562
620	7.387116358
621	7.386951773
622	7.386664328
623	7.386462642
624	7.386200127
625	7.385966412
626	7.38576312
627	7.38547214
628	7.385212195
629	7.385014385
630	7.384822194
631	7.384627492
632	7.384369652
633	7.384123077
634	7.383974543
635	7.383728344
636	7.383537687
637	7.383331468
638	7.383064474
639	7.382844055
640	7.382692712
641	7.382528844
642	7.382316039
643	7.382072805
644	7.38187068
645	7.381627978
646	7.38137967
647	7.381164734
648	7.380973733
649	7.380758313
650	7.380580233
651	7.380368918
652	7.380157787
653	7.37997768
654	7.379826759
655	7.379610206
656	7.379414121
657	7.379167844
658	7.378980311
659	7.378756289
660	7.378532042
661	7.378304248
662	7.378146312
663	7.377906229
664	7.377742326
665	7.37762203
666	7.377403109
667	7.37719933
668	7.376969713
669	7.376827324
670	7.376588006
671	7.376387013
672	7.376195871
673	7.376014711
674	7.375811476
675	7.375687961
676	7.375554744
677	7.37539667
678	7.375183237
679	7.37496199
680	7.37482007
681	7.374602559
682	7.374418873
683	7.374188383
684	7.373966604
685	7.373799142
686	7.373579013
687	7.373372974
688	7.373165934
689	7.373029293
690	7.372821378
691	7.372608937
692	7.372445276
693	7.372233142
694	7.372010983
695	7.371774055
696	7.371532327
697	7.371294144
698	7.37116473
699	7.370950674
700	7.37082549
701	7.370621886
702	7.370435401
703	7.370271922
704	7.370060079
705	7.369923042
