iter	Passed	Remaining
0	88	88900
1	169	84807
2	231	76999
3	308	76873
4	399	79592
5	472	78261
6	544	77210
7	618	76714
8	681	75063
9	756	74912
10	811	72979
11	875	72057
12	928	70512
13	994	70037
14	1055	69326
15	1106	68065
16	1174	67885
17	1245	67965
18	1308	67541
19	1370	67160
20	1434	66855
21	1497	66548
22	1561	66341
23	1627	66166
24	1694	66102
25	1760	65950
26	1809	65210
27	1871	64950
28	1921	64326
29	1987	64247
30	2064	64521
31	2129	64405
32	2196	64367
33	2267	64415
34	2323	64051
35	2396	64174
36	2462	64081
37	2521	63837
38	2581	63599
39	2630	63122
40	2680	62707
41	2741	62527
42	2788	62070
43	2851	61951
44	2912	61817
45	2966	61515
46	3033	61517
47	3093	61349
48	3159	61324
49	3220	61192
50	3272	60895
51	3332	60762
52	3393	60633
53	3450	60447
54	3508	60288
55	3569	60163
56	3627	60004
57	3687	59884
58	3747	59769
59	3795	59457
60	3855	59344
61	3914	59224
62	3963	58949
63	4021	58818
64	4083	58745
65	4172	59044
66	4240	59050
67	4299	58923
68	4357	58798
69	4405	58527
70	4464	58419
71	4524	58321
72	4583	58203
73	4633	57975
74	4694	57904
75	4749	57743
76	4793	57454
77	4829	57082
78	4878	56877
79	4921	56595
80	4969	56383
81	5008	56070
82	5052	55825
83	5094	55554
84	5141	55345
85	5195	55215
86	5239	54980
87	5290	54827
88	5345	54712
89	5397	54570
90	5448	54420
91	5503	54313
92	5562	54244
93	5618	54153
94	5666	53985
95	5710	53771
96	5765	53669
97	5802	53405
98	5859	53324
99	5914	53232
100	5964	53090
101	6023	53033
102	6088	53019
103	6141	52910
104	6215	52982
105	6275	52923
106	6330	52829
107	6381	52707
108	6426	52532
109	6481	52443
110	6542	52398
111	6591	52264
112	6633	52072
113	6683	51944
114	6733	51821
115	6785	51706
116	6844	51655
117	6891	51512
118	6948	51442
119	6991	51271
120	7046	51191
121	7103	51119
122	7161	51065
123	7213	50959
124	7275	50925
125	7322	50790
126	7370	50664
127	7420	50552
128	7478	50495
129	7541	50469
130	7586	50324
131	7629	50168
132	7679	50063
133	7737	50005
134	7800	49982
135	7858	49922
136	7910	49828
137	7966	49759
138	8010	49617
139	8055	49483
140	8115	49443
141	8157	49287
142	8220	49264
143	8277	49206
144	8328	49106
145	8373	48978
146	8440	48976
147	8505	48965
148	8569	48943
149	8622	48860
150	8671	48757
151	8732	48719
152	8776	48588
153	8823	48469
154	8876	48393
155	8942	48381
156	9006	48359
157	9072	48348
158	9124	48263
159	9170	48147
160	9233	48119
161	9275	47980
162	9329	47905
163	9379	47811
164	9432	47732
165	9480	47628
166	9533	47554
167	9574	47414
168	9632	47364
169	9676	47245
170	9743	47234
171	9792	47142
172	9854	47106
173	9916	47076
174	9977	47037
175	10028	46953
176	10093	46931
177	10148	46866
178	10187	46724
179	10237	46638
180	10294	46583
181	10343	46489
182	10400	46432
183	10452	46356
184	10497	46244
185	10547	46159
186	10596	46071
187	10660	46045
188	10705	45937
189	10769	45910
190	10827	45858
191	10888	45821
192	10951	45790
193	11008	45738
194	11086	45765
195	11139	45695
196	11202	45661
197	11254	45584
198	11302	45495
199	11366	45467
200	11439	45471
201	11518	45504
202	11575	45445
203	11638	45414
204	11696	45359
205	11754	45304
206	11817	45273
207	11866	45183
208	11913	45090
209	11986	45090
210	12040	45024
211	12097	44966
212	12160	44929
213	12230	44922
214	12289	44871
215	12341	44796
216	12400	44743
217	12452	44670
218	12526	44673
219	12585	44622
220	12659	44623
221	12717	44568
222	12765	44477
223	12825	44432
224	12882	44374
225	12952	44359
226	13010	44305
227	13069	44251
228	13138	44234
229	13211	44228
230	13272	44183
231	13326	44116
232	13382	44054
233	13443	44007
234	13496	43935
235	13561	43901
236	13615	43835
237	13673	43778
238	13738	43745
239	13790	43671
240	13871	43687
241	13938	43658
242	13999	43612
243	14050	43533
244	14099	43449
245	14158	43397
246	14222	43359
247	14283	43310
248	14332	43227
249	14378	43134
250	14427	43051
251	14487	43002
252	14553	42971
253	14620	42941
254	14687	42911
255	14753	42877
256	14820	42847
257	14881	42798
258	14948	42766
259	15008	42717
260	15068	42664
261	15133	42627
262	15190	42568
263	15259	42541
264	15310	42465
265	15373	42421
266	15437	42379
267	15505	42351
268	15569	42308
269	15632	42266
270	15684	42191
271	15747	42148
272	15794	42060
273	15857	42016
274	15926	41986
275	15978	41914
276	16034	41852
277	16095	41802
278	16164	41771
279	16244	41772
280	16334	41796
281	16411	41785
282	16478	41748
283	16547	41717
284	16601	41649
285	16655	41580
286	16706	41504
287	16760	41436
288	16820	41381
289	16882	41334
290	16962	41327
291	17013	41252
292	17081	41216
293	17143	41168
294	17208	41126
295	17257	41045
296	17317	40991
297	17381	40946
298	17435	40876
299	17493	40817
300	17557	40771
301	17626	40738
302	17696	40708
303	17757	40654
304	17851	40677
305	17902	40603
306	17967	40558
307	18028	40505
308	18094	40464
309	18160	40421
310	18206	40336
311	18271	40290
312	18323	40219
313	18388	40172
314	18440	40100
315	18501	40047
316	18545	39958
317	18606	39904
318	18662	39840
319	18726	39793
320	18788	39742
321	18831	39651
322	18883	39580
323	18939	39515
324	19002	39466
325	19057	39400
326	19109	39330
327	19160	39256
328	19206	39172
329	19264	39112
330	19318	39046
331	19369	38972
332	19423	38906
333	19485	38853
334	19535	38779
335	19613	38760
336	19695	38749
337	19759	38699
338	19819	38644
339	19880	38592
340	19947	38550
341	20009	38497
342	20076	38456
343	20134	38395
344	20185	38323
345	20236	38250
346	20293	38188
347	20348	38124
348	20393	38040
349	20447	37974
350	20506	37916
351	20559	37848
352	20604	37765
353	20661	37703
354	20733	37670
355	20806	37638
356	20878	37604
357	20952	37573
358	21014	37521
359	21070	37459
360	21133	37407
361	21196	37358
362	21245	37281
363	21302	37220
364	21366	37171
365	21410	37088
366	21460	37014
367	21502	36929
368	21557	36863
369	21623	36818
370	21672	36744
371	21723	36672
372	21768	36592
373	21831	36540
374	21887	36479
375	21937	36406
376	22002	36359
377	22060	36300
378	22126	36254
379	22181	36190
380	22242	36137
381	22293	36066
382	22344	35995
383	22412	35953
384	22476	35903
385	22553	35875
386	22612	35817
